"No.","Time","Source","Destination","Protocol","Length","Info"
"25573","3.820883","202.59.185.165","10.10.10.10","TCP","60","63814  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25574","3.820883","178.199.167.163","10.10.10.10","TCP","60","57645  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25575","3.820884","16.143.62.142","10.10.10.10","TCP","60","17886  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25576","3.820884","101.81.199.108","10.10.10.10","TCP","60","64291  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25577","3.820885","180.156.204.23","10.10.10.10","TCP","60","57441  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25578","3.820886","118.89.106.228","10.10.10.10","TCP","60","51869  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25579","3.820990","50.152.208.7","10.10.10.10","TCP","60","4056  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25580","3.820991","115.153.146.53","10.10.10.10","TCP","60","55856  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25581","3.820992","89.36.40.83","10.10.10.10","TCP","60","20235  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25582","3.820992","222.199.158.116","10.10.10.10","TCP","60","46293  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25583","3.820993","128.20.242.1","10.10.10.10","TCP","60","46583  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25584","3.820993","116.136.53.252","10.10.10.10","TCP","60","23437  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25585","3.820994","129.190.98.232","10.10.10.10","TCP","60","5880  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25586","3.820995","177.76.128.200","10.10.10.10","TCP","60","21528  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25587","3.821090","75.202.186.159","10.10.10.10","TCP","60","52612  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25588","3.821091","130.235.144.91","10.10.10.10","TCP","60","54095  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25589","3.821091","120.190.106.173","10.10.10.10","TCP","60","18428  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25590","3.821092","109.108.210.168","10.10.10.10","TCP","60","25374  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25591","3.821093","71.173.156.49","10.10.10.10","TCP","60","29332  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25592","3.821093","202.128.18.52","10.10.10.10","TCP","60","34700  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25593","3.821094","155.194.200.18","10.10.10.10","TCP","60","904  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25594","3.821094","101.114.244.58","10.10.10.10","TCP","60","4246  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25595","3.821195","55.151.134.100","10.10.10.10","TCP","60","12135  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25596","3.821195","214.11.93.146","10.10.10.10","TCP","60","51933  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25597","3.821196","138.212.224.131","10.10.10.10","TCP","60","3995  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25598","3.821196","101.12.76.212","10.10.10.10","TCP","60","40217  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25599","3.821197","107.22.99.152","10.10.10.10","TCP","60","17103  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25600","3.821198","131.3.239.120","10.10.10.10","TCP","60","37407  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25601","3.821198","162.82.237.176","10.10.10.10","TCP","60","41429  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25602","3.821282","152.170.49.231","10.10.10.10","TCP","60","60230  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25603","3.821282","98.178.139.242","10.10.10.10","TCP","60","14662  >  25565 [SYN] Seq=0 Win=0 Len=0"
